,start,end,text
0,1.3,10.5,"[u'eine', u'computeranimation', u'auf', u'einen', u'schroffen', u'berg', u'mit', u'schneebedeckter', u'flanke', u'fliegt', u'eine', u'reihe', u'sterne', u'zu', u'sie', u'bilden', u'einen', u'kranz', u'um', u'den', u'gipfel', u'paramount']"
1,15.9,19.5,"[u'vor', u'bewoelktem', u'himmel', u'schwebt', u'eine', u'grauweisse', u'feder', u'durch', u'die', u'luft']"
2,22.6,25.8,"[u'in', u'einer', u'stadt', u'segelt', u'sie', u'ueber', u'die', u'baumkronen', u'eines', u'parks']"
3,31.7,36.7,"[u'ein', u'robertzemeckisfilm', u'tom', u'hanks', u'als', u'forrest', u'gump']"
4,40.7,61.0,"[u'die', u'feder', u'fliegt', u'ein', u'paar', u'meter', u'ueber', u'den', u'wipfeln', u'robin', u'wright', u'als', u'jenny', u'gary', u'sinise', u'als', u'lieutenant', u'dan', u'mykelti', u'williamson', u'als', u'bubba', u'und', u'sally', u'field', u'als', u'missis', u'gump', u'musik', u'alan', u'silvestri', u'drehbuch', u'eric', u'roth', u'nach', u'dem', u'gleichnamigen', u'roman', u'von', u'winston', u'groom', u'regie', u'robert', u'zemeckis']"
5,68.7,73.0,"[u'in', u'der', u'naehe', u'eines', u'kirchturms', u'sinkt', u'die', u'feder', u'vor', u'einem', u'weissen', u'gebaeude', u'langsam', u'tiefer']"
6,77.0,91.5,"[u'die', u'hoerfilmfassung', u'wurde', u'produziert', u'vom', u'bayerischen', u'rundfunk', u'im', u'auftrag', u'des', u'schweizer', u'fernsehens', u'text', u'koop', u'michalski', u'und', u'beckmann', u'\u2013', u'hoerfilm', u'ev', u'redaktion', u'elmar', u'dosch', u'und', u'bernd', u'benecke', u'tonmischung', u'herbert', u'glaser', u'sprecher', u'thomas', u'meinhardt']"
7,93.0,101.0,"[u'die', u'feder', u'trudelt', u'zu', u'einer', u'strasse', u'hinunter', u'die', u'durch', u'den', u'park', u'fuehrt', u'ein', u'mann', u'bleibt', u'kurz', u'am', u'bordstein', u'stehen', u'die', u'feder', u'landet', u'sanft', u'auf', u'seiner', u'schulter']"
8,105.6,124.9,"[u'der', u'mann', u'ueberquert', u'die', u'fahrbahn', u'die', u'feder', u'schwebt', u'weiter', u'ueber', u'die', u'windschutzscheibe', u'eines', u'chevrolets', u'sie', u'sinkt', u'bis', u'dicht', u'ueber', u'den', u'asphalt', u'und', u'fliegt', u'unter', u'einem', u'wagen', u'hindurch', u'der', u'an', u'einer', u'bushaltestelle', u'vorbeifaehrt', u'die', u'feder', u'wird', u'wieder', u'hochgewirbelt', u'und', u'trudelt', u'zu', u'einem', u'mann', u'auf', u'einer', u'wartebank', u'sie', u'landet', u'an', u'einem', u'seiner', u'abgewetzten', u'nikelaufschuhe']"
9,126.2,145.7,"[u'der', u'mann', u'hebt', u'sie', u'auf', u'und', u'betrachtet', u'sie', u'er', u'ist', u'etwa', u'vierzig', u'schlank', u'und', u'braungebrannt', u'und', u'hat', u'kleine', u'dunkle', u'augen', u'sein', u'kurzes', u'dunkles', u'haar', u'mit', u'geheimratsecken', u'ist', u'ueber', u'den', u'ohren', u'ausrasiert', u'er', u'traegt', u'einen', u'hellen', u'anzug', u'und', u'ein', u'blau', u'kariertes', u'hemd', u'der', u'mann', u'nimmt', u'eine', u'pralinenschachtel', u'von', u'einem', u'kleinen', u'koffer', u'und', u'oeffnet', u'ihn']"
10,147.0,160.2,"[u'zwischen', u'den', u'akkurat', u'gepackten', u'sachen', u'liegen', u'auch', u'ein', u'rotes', u'kaeppi', u'und', u'ein', u'tischtennisschlaeger', u'aus', u'dem', u'kofferdeckel', u'zieht', u'der', u'mann', u'das', u'kinderbuch', u'curious', u'george', u'er', u'legt', u'die', u'feder', u'hinein', u'schliesst', u'den', u'koffer', u'und', u'stellt', u'ihn', u'neben', u'sich']"
11,161.8,164.4,"[u'der', u'mann', u'schaut', u'mit', u'ernstem', u'gesicht', u'in', u'leere']"
12,166.1,175.2,"[u'ein', u'linienbus', u'haelt', u'bisschen', u'quietschen', u'darauf', u'eine', u'werbung', u'fuer', u'ein', u'neues', u'automodell', u'von']"
13,178.6,189.1,"[u'der', u'mann', u'oeffnet', u'die', u'pralinenschachtel', u'eine', u'schwarze', u'frau', u'in', u'schwesterntracht', u'setzt', u'sich', u'zu', u'ihm', u'auf', u'die', u'bank', u'schnell', u'macht', u'der', u'mann', u'die', u'schachtel', u'wieder', u'zu', u'die', u'krankenschwester', u'blickt', u'in', u'eine', u'zeitschrift']"
14,190.16,194.631,"['hallo', 'mein', 'name', 'ist', 'forrest', 'forrest', 'gump']"
15,194.4,199.6,"[u'die', u'schwester', u'sieht', u'kurz', u'hoch', u'nickt', u'und', u'liest', u'weiter', u'forrest', u'haelt', u'ihr', u'die', u'geoeffnete', u'pralinenschachtel', u'hin']"
16,200.32,202.151,"['m\xf6chten', 'sie', 'eine', 'praline']"
17,202.0,203.1,"[u'sie', u'schuettelt', u'den', u'kopf']"
18,204.48,208.837,"['die', 'k\xf6nnte', 'ich', 'pfundweise', 'essen']"
19,208.92,213.63,"['meine', 'mama', 'sagte', 'immer', 'das', 'leben', 'ist', 'wie', 'eine', 'schachtel', 'pralinen']"
20,214.1,215.5,"[u'er', u'steckt', u'sich', u'eine', u'in', u'den', u'mund']"
21,216.0,219.31,"['man', 'wei\xdf', 'nie', 'was', 'man', 'kriegt']"
22,217.9,219.4,"[u'die', u'schwester', u'reagiert', u'nicht']"
23,221.0,223.6,"[u'forrest', u'zeigt', u'auf', u'ihre', u'strahlend', u'weissen', u'halbschuhe']"
24,225.6,228.353,"['das', 'm\xfcssen', 'ja', 'bequeme', 'schuhe', 'sein']"
25,228.44,233.23,"['ich', 'wette', 'damit', 'kann', 'man', 'den', 'ganzen', 'tag', 'herumlaufen', 'und', 'sp\xfcrt', 'nichts']"
26,235.72,240.032,"['ich', 'w\xfcnschte', 'ich', 'h\xe4tte', 'so', 'welche', 'meine', 'f\xfc\xdfe', 'tun', 'weh']"
27,241.48,243.869,"['mama', 'sagte', 'immer', 'es', 'gibt', 'vieles']"
28,243.96,247.111,"['was', 'man', 'an', 'den', 'schuhen', 'einer', 'person', 'ablesen', 'kann']"
29,247.2,250.476,"['wohin', 'sie', 'gehen', 'wo', 'sie', 'gewesen', 'sind']"
30,251.6,254.7,"[u'interessiert', u'sieht', u'die', u'schwester', u'von', u'ihrem', u'peoplemagazine', u'zu', u'ihm']"
31,257.2,259.794,"['ich', 'habe', 'viele', 'schuhe', 'getragen']"
32,261.6,263.955,"['ich', 'wette', 'wenn', 'ich', 'scharf', 'nachdenke']"
33,264.04,267.555,"['kann', 'ich', 'mich', 'an', 'mein', 'erstes', 'paar', 'erinnern']"
34,266.3,268.2,"[u'er', u'kneift', u'die', u'augen', u'fest', u'zu']"
35,269.48,272.278,"['mama', 'sagte', 'die', 'tragen', 'mich', '\xfcberall', 'hin']"
36,272.48,275.313,"['sie', 'sagte', 'das', 'seien', 'meine', 'zauberschuhe']"
37,275.4,278.79,"['ok', 'forrest', 'jetzt', 'mach', 'deine', 'augen', 'auf']"
38,276.1,276.8,"[u'ss', u'ein', u'arzt']"
39,278.2,284.7,"[u's', u'der', u'etwa', u'jaehrige', u'sitzt', u'auf', u'einer', u'liege', u'und', u'starrt', u'auf', u'seine', u'beine', u'an', u'die', u'metallschienen', u'geschnallt', u'sind', u'der', u'dicke', u'arzt', u'hebt', u'ihn', u'runter']"
40,285.44,287.476,"['lauf', 'mal', 'ein', 'bisschen', 'herum']"
41,288.6,292.7,"[u'mit', u'steifen', u'knien', u'stakst', u'der', u'junge', u'an', u'einer', u'dunkelhaarigen', u'vorbei', u'die', u'auf', u'einem', u'stuhl', u'sitzt']"
42,294.2,296.111,"['wie', 'f\xfchlen', 'sich', 'die', 'an']"
43,295.8,298.1,"[u'der', u'arzt', u'hat', u'eine', u'brennende', u'zigarette', u'im', u'mundwinkel']"
44,298.96,303.397,"['seine', 'beine', 'sind', 'stark', 'mrs', 'gump', 'so', 'stark', 'wie', 'die', 'meisten']"
45,303.48,307.393,"['aber', 'er', 'hat', 'ein', 'r\xfcckgrat', 'wie', 'ein', 'politiker']"
46,307.48,310.916,"['aber', 'wir', 'machen', 'einen', 'aufrechten', 'kerl', 'aus', 'ihm', 'was', 'forrest']"
47,310.8,312.2,"[u'ss', u'der', u'kippt', u'um']"
48,313.4,317.439,"['als', 'ich', 'ein', 'baby', 'war', 'benannte', 'mama', 'mich', 'nach', 'dem', 'gro\xdfen', 'kriegshelden']"
49,317.52,320.159,"['general', 'nathan', 'bedford', 'forrest']"
50,320.24,322.549,"['sie', 'sagte', 'wir', 'w\xe4ren', 'irgendwie', 'mit', 'ihm', 'verwandt']"
51,321.6,324.0,"[u'und', u'was', u'hat', u'der', u'gemacht', u'Uebersprechen', u'ss', u'ein', u'alter', u'film', u'vom', u'general', u'der', u'aussieht', u'wie', u'forrest']"
52,322.64,327.634,"['er', 'gr\xfcndete', 'diesen', 'verein', 'namens', 'kukluxklan']"
53,327.72,330.917,"['sie', 'wickelten', 'sich', 'in', 'gew\xe4nder', 'und', 'leint\xfccher', 'ein']"
